Probabilities,Predicted labels,label,All-Probs
0.976158,This image shows the country Japan,Japan,"[1.2057429557899013e-05, 6.283385687311238e-07, 2.364782858421677e-06, 0.00014697924780193716, 9.832576779444935e-07, 1.2473366041376721e-05, 5.928264727117494e-06, 1.7857049897429533e-05, 0.0003064321354031563, 8.44470014271792e-06, 0.0026935585774481297, 1.2785046692442847e-06, 0.00048231720575131476, 1.9297258901929126e-08, 0.0001523261162219569, 1.4464472769759595e-05, 0.00011319483746774495, 7.631962944287807e-05, 7.720946655354055e-07, 0.0005519477999769151, 4.4245248886909394e-07, 5.703073838958517e-05, 5.473097553476691e-05, 2.2570661712961737e-06, 3.0696024623466656e-05, 0.0024336501955986023, 0.0022386591881513596, 0.0003649711434263736, 9.532755939289927e-06, 7.941675903566647e-06, 0.00015943100152071565, 0.00019956205505877733, 0.0003469947841949761, 5.103012881590985e-06, 4.973083377990406e-06, 4.414234808791662e-06, 0.0004546628915704787, 0.0006030133226886392, 8.966241148300469e-05, 0.001110103796236217, 0.003894366091117263, 1.2793077985406853e-05, 4.492009338719072e-06, 6.147559361124877e-06, 1.9123865058645606e-05, 1.0223858225799631e-05, 7.042147558422585e-07, 5.22804157299106e-07, 0.9761580228805542, 1.6390449673053809e-06, 3.986765023000771e-06, 9.857763870968483e-06, 0.0001430231932317838, 0.00017745184595696628, 7.549733709311113e-07, 6.947163001314038e-06, 2.919271651080635e-07, 2.5593391910661012e-05, 3.618260507209925e-06, 8.965026836449397e-07, 2.8469108656281605e-05, 0.0014145623426884413, 9.356461669085547e-05, 8.312790100717393e-07, 1.475239059800515e-07, 0.00047379921306855977, 2.652524744917173e-05, 5.822123966936488e-06, 4.66546589450445e-06, 1.748723298078403e-05, 1.5607343812007457e-05, 5.896813036088133e-06, 0.003888828679919243, 6.814706284785643e-05, 8.372257980227005e-06, 0.00012895562394987792, 2.4652190404594876e-06, 2.042024971160572e-05, 8.007413271116093e-06, 1.4506469597108662e-05, 9.194586164085194e-05, 1.0685428605938796e-05, 6.115468750067521e-06, 3.127741365460679e-06, 0.0003956838045269251, 5.138927917869296e-06, 1.721244757391105e-06]"
0.101542406,This image shows the country Canada,Ukraine,"[0.0012801015982404351, 0.0006536447908729315, 0.017084989696741104, 0.010874017141759396, 0.0002210150269092992, 0.01599796675145626, 0.02131686545908451, 0.004356998950242996, 0.013821182772517204, 0.0020243769977241755, 0.01334631908684969, 0.005900249350816011, 0.00541667640209198, 0.00013143375690560788, 0.0029831056017428637, 0.003557075746357441, 0.046360574662685394, 0.0013323675375431776, 0.00020336096349637955, 0.014000462368130684, 0.0012904147151857615, 0.0005610822699964046, 0.010764789767563343, 0.0042366390116512775, 0.015174765139818192, 0.0005382492090575397, 0.010844418779015541, 0.04404065012931824, 0.001302640768699348, 0.018545830622315407, 0.005132956895977259, 0.0077464766800403595, 0.04194284602999687, 0.029197117313742638, 0.005839400924742222, 0.030017251148819923, 0.1015424057841301, 0.02808598428964615, 0.0015617801109328866, 0.00408811355009675, 0.01791967637836933, 3.0101600714260712e-05, 0.0016047406243160367, 0.00022471656848210841, 0.0006604963564313948, 0.004921518731862307, 0.01252747606486082, 0.009609839878976345, 0.01803024299442768, 0.0001089765501092188, 0.001055657397955656, 0.007841587997972965, 0.0027718653436750174, 0.01229007076472044, 0.000878110236953944, 0.0009106690995395184, 7.217762322397903e-05, 0.001314980094321072, 0.002829124452546239, 0.00016837412840686738, 0.015244068577885628, 0.0014042388647794724, 0.0070815011858940125, 0.00035278647555969656, 0.00016769451030995697, 0.0956907570362091, 0.00024471693905070424, 0.017206186428666115, 0.0006742149707861245, 0.0008752375142648816, 0.05162493512034416, 0.000845830887556076, 0.02792957052588463, 0.0009340786491520703, 0.002711179666221142, 0.0017870584269985557, 0.0057560778222978115, 0.04214075207710266, 0.0006466571358032525, 0.0017282122280448675, 0.003744458546862006, 0.055606693029403687, 0.013913916423916817, 0.006797275505959988, 0.0020060883834958076, 0.0028205309063196182, 0.0009783031418919563]"
0.22653271,This image shows the country Philippines,Thailand,"[0.005168120842427015, 8.83906104718335e-05, 0.0004891079152002931, 0.0005238611483946443, 2.413627407804597e-05, 0.0001175812867586501, 0.004865067079663277, 0.0001383935596095398, 0.0010292233200743794, 0.00021535539417527616, 0.02788275107741356, 5.1877093937946483e-05, 0.0023281709291040897, 0.0024468505289405584, 0.00031107678660191596, 0.0035667053889483213, 0.0009569529793225229, 0.016284724697470665, 3.891659798682667e-05, 0.0025368595961481333, 0.00015193122089840472, 0.0014842343516647816, 0.000861483218614012, 7.821987674105912e-05, 0.00027304806280881166, 0.017459267750382423, 0.2265327125787735, 0.0012576775625348091, 0.0037560209166258574, 0.0005775931058451533, 0.04233090206980705, 0.034995559602975845, 0.00772117031738162, 0.0005796457990072668, 0.0022608658764511347, 0.002845301991328597, 0.010676239617168903, 0.0008601516601629555, 0.010008263401687145, 0.14552395045757294, 0.053199559450149536, 0.0004824203497264534, 0.012263995595276356, 0.003648537676781416, 0.00037854776019230485, 6.846745236543939e-05, 0.0005971738137304783, 0.0003525116480886936, 0.00866914913058281, 0.0001530971348984167, 8.694840653333813e-05, 0.0017525953007861972, 0.026675572618842125, 0.021751340478658676, 5.6367076467722654e-05, 0.0019243318820372224, 8.203895413316786e-05, 0.007559347432106733, 0.0005463255220092833, 5.4183390602702275e-05, 0.0007178780506365001, 0.00813209917396307, 4.2998108256142586e-05, 6.0530048358486965e-05, 0.00020427392155397683, 0.00522306002676487, 0.004707315471023321, 0.0005256508011370897, 0.0015869630733504891, 0.002371831564232707, 0.00150028127245605, 0.010547993704676628, 0.002197903348132968, 0.0029209270142018795, 0.00012714853801298887, 5.64937581657432e-05, 0.00021230151469353586, 0.0007297283736988902, 0.0035555933136492968, 0.00032691104570403695, 0.21863530576229095, 0.0008892518235370517, 0.0005762714426964521, 9.244511602446437e-05, 0.014041604474186897, 5.3250441851560026e-05, 0.00036305977846495807]"
0.21682787,This image shows the country Austria,Austria,"[1.2728738738587708e-06, 3.065663986490108e-05, 0.0033831214532256126, 9.150252299150452e-05, 0.00012293978943489492, 0.017551980912685394, 0.042738959193229675, 0.04415741562843323, 2.213627340097446e-06, 0.0003476399288047105, 1.096261439670343e-05, 0.0011791143333539367, 0.001860212069004774, 1.0154445817533997e-07, 0.0008582797017879784, 9.060701813723426e-06, 0.04719847813248634, 8.2596284300962e-07, 7.2365228334092535e-06, 0.00013666979793924838, 0.0028420030139386654, 1.0527797940085293e-06, 0.0008757838513702154, 0.005220597609877586, 0.01052485778927803, 5.11124028435006e-07, 3.962180016969796e-06, 0.0026047173887491226, 1.5322057151934132e-05, 0.008755671791732311, 3.683463546622079e-06, 2.3800653252692427e-06, 9.40655627346132e-06, 0.005186277907341719, 0.0001017817558022216, 0.010176400654017925, 0.0003071670653298497, 5.778103513875976e-06, 7.425117587445129e-07, 4.439576883896734e-08, 9.81832345132716e-05, 1.9706187970314204e-07, 4.357490013262577e-07, 2.6968079964717617e-06, 1.244989107362926e-05, 0.09445805847644806, 0.03600313141942024, 0.00015063758473843336, 5.906866499572061e-05, 9.559896625432884e-07, 2.8106408080930123e-06, 0.0270258579403162, 2.440176558593521e-06, 2.4203016437240876e-05, 0.00019218835223000497, 1.684470817053807e-06, 4.689431776228048e-08, 5.667577170243021e-06, 0.002937737386673689, 1.1104496479674708e-05, 0.20660796761512756, 5.568758751905989e-06, 0.001865232246927917, 3.726686190930195e-05, 1.1130738130304962e-05, 1.7712674889480695e-05, 3.853785074170446e-06, 0.0014497380470857024, 5.604217108157172e-07, 2.0660784230130957e-06, 0.03418487310409546, 1.3298144949658308e-06, 9.180919732898474e-06, 1.0585622476355638e-05, 0.0016550844302400947, 0.004911636468023062, 0.060002733021974564, 0.05350328981876373, 1.4408077220195992e-07, 7.039077900117263e-05, 7.764991778458352e-07, 0.002473662607371807, 0.04875359684228897, 0.2168278694152832, 1.0038368145615095e-06, 7.173790800152346e-05, 0.00020468256843741983]"
0.18660247,This image shows the country Russia,Romania,"[0.001971920719370246, 0.010441522113978863, 0.02287530153989792, 0.0003783275606110692, 7.674413063796237e-05, 0.06613105535507202, 0.034831274300813675, 0.0007823019986972213, 0.00031138426857069135, 0.0017518597887828946, 0.003766983048990369, 0.010203847661614418, 0.0009337569354102015, 0.00023256750137079507, 0.0003446643822826445, 0.0024194323923438787, 0.18660247325897217, 0.0002747657708823681, 0.0004599644453264773, 0.008997412398457527, 0.0016606122953817248, 0.0009553426061756909, 0.0016368450596928596, 0.00029752927366644144, 0.017297642305493355, 0.0018148728413507342, 0.005165015812963247, 0.004370110109448433, 0.0006013204110786319, 0.007441240828484297, 0.02195603772997856, 0.002680147299543023, 0.004462818149477243, 0.059275537729263306, 0.002647003624588251, 0.041951995342969894, 0.09498491883277893, 0.02522910386323929, 0.0010384020861238241, 0.000697054376360029, 0.003521267557516694, 4.627051384886727e-05, 0.0028716623783111572, 0.0005737609462812543, 0.0001706446782918647, 0.004124143160879612, 0.0019399349112063646, 0.040705032646656036, 0.014053042978048325, 0.00021460623247548938, 0.0005105238524265587, 0.0017168523045256734, 0.0022736790124326944, 0.02401883341372013, 0.00040956540033221245, 0.0002188702637795359, 0.00014706591900903732, 0.0008804016979411244, 0.0007179423118941486, 9.059707372216508e-05, 0.0036385091952979565, 0.050710052251815796, 0.0025135620962828398, 0.0006396396784111857, 0.00032163530704565346, 0.008186583407223225, 0.0006471659289672971, 0.004964968655258417, 0.00021025515161454678, 0.0010668803006410599, 0.05180518329143524, 0.0011285817017778754, 0.002320611383765936, 0.0013064212398603559, 0.003668130375444889, 0.002907619345933199, 0.013997908681631088, 0.011888007633388042, 0.002607845002785325, 0.002526496537029743, 0.0018556979484856129, 0.0558091476559639, 0.017881277948617935, 0.0018750313902273774, 0.0008033689227886498, 0.0007406375952996314, 0.004822972696274519]"
0.83476895,This image shows the country France,France,"[2.5937547434295993e-06, 1.2172909009677824e-05, 0.0004034132871311158, 0.00017404548998456448, 0.011225472204387188, 1.6754087482695468e-05, 7.31424952391535e-05, 0.0001515517506049946, 2.579677675385028e-05, 0.006268817465752363, 0.0003802133724093437, 0.0003368414181750268, 0.0012639197520911694, 1.5392414809412003e-07, 6.696856144117191e-05, 0.0034245094284415245, 0.0004466152749955654, 2.411523564660456e-05, 0.00034765852615237236, 0.00012320364476181567, 7.808468581060879e-06, 9.976692126656417e-06, 0.0010660988045856357, 0.0015528519870713353, 4.9897214921656996e-05, 7.735059625701979e-05, 3.950516111217439e-05, 0.8347689509391785, 9.5175573733286e-06, 0.0001875777670647949, 2.0010505977552384e-05, 9.132490049523767e-06, 0.012574521824717522, 0.00019606866408139467, 9.407678589923307e-06, 1.4951287994335871e-05, 3.5266268241684884e-05, 0.002925642766058445, 6.088335453569016e-07, 6.098731546444469e-07, 0.0005079778493382037, 3.1788487831363454e-05, 7.872022251831368e-06, 1.961122279681149e-06, 4.2304349335609004e-05, 0.00010726988693932071, 0.00010045964882010594, 4.274290859029861e-06, 0.00013872994168195873, 6.835122690063145e-07, 0.0007086378172971308, 7.183074922068045e-05, 5.550078640226275e-05, 0.00011348535917932168, 0.0005343644297681749, 4.0686272768653e-06, 3.798074388328132e-08, 1.0712506991694681e-05, 0.002249912591651082, 0.00011374735913705081, 8.997813711175695e-05, 3.317480513942428e-05, 0.04275347664952278, 0.03352636843919754, 1.6788908396847546e-05, 0.005294038448482752, 1.0330018994864076e-05, 0.0029853438027203083, 1.304295892623486e-05, 8.071066258708015e-05, 9.002035949379206e-05, 2.2182588509167545e-05, 9.570557267579716e-06, 4.756287671625614e-05, 0.0022611841559410095, 4.3137060856679454e-06, 7.325503247557208e-05, 0.0004783830663654953, 2.3689106001256732e-06, 0.0004948892164975405, 1.8469349015504122e-05, 0.0003335596702527255, 3.094585918006487e-05, 4.35198780905921e-05, 2.9099790481268428e-05, 0.027831044048070908, 0.000297142454655841]"
0.55514026,This image shows the country Iceland,Chile,"[0.0006324154091998935, 0.0102907819673419, 0.0027478367555886507, 0.002221322152763605, 0.00015848383191041648, 0.0035476728808134794, 0.0013494553277269006, 0.0008997234981507063, 0.00016513314039912075, 0.0056029572151601315, 0.0012875462416559458, 0.0011402351083233953, 0.00044286000775173306, 1.3163747098587919e-05, 0.007115176413208246, 7.08605075487867e-05, 0.04069959372282028, 4.4327305658953264e-05, 8.444311788480263e-06, 0.0002959162520710379, 8.0067606177181e-05, 0.014149541966617107, 0.0015643805963918567, 5.659069211105816e-05, 0.059133127331733704, 0.0001090995137928985, 0.0003586985112633556, 0.002418490592390299, 2.4084611141006462e-06, 0.0007869561668485403, 2.2369664293364622e-05, 0.00015173482825048268, 0.05160684883594513, 0.008149347268044949, 0.0008100990671664476, 0.0036370998714119196, 0.00692452397197485, 0.054179321974515915, 2.74318390438566e-05, 8.676465949974954e-05, 0.011039807461202145, 5.806220997328637e-06, 7.656682896595157e-07, 1.15056509457645e-05, 5.150201559445122e-06, 0.0029358838219195604, 0.0008125967578962445, 0.0022720396518707275, 0.003513008588925004, 2.6079860617755912e-05, 8.92543812369695e-06, 0.003710702992975712, 0.002692582318559289, 0.0030506239272654057, 0.00020766648231074214, 2.501195240256493e-06, 0.0016632175538688898, 2.0869600120931864e-05, 0.0002391366579104215, 2.1985742932884023e-06, 0.001058579538948834, 0.0007148581207729876, 0.0020721436012536287, 0.0001424177607987076, 1.4387950614036527e-05, 0.040422551333904266, 1.4600652320950758e-05, 0.0020745520014315844, 0.012220373377203941, 0.004983116406947374, 0.006510722916573286, 7.331114488806634e-07, 0.021101143211126328, 4.36663867731113e-05, 0.00024215728626586497, 0.5551402568817139, 0.007523126434534788, 0.005924972239881754, 1.4721588286192855e-06, 5.603068711934611e-05, 0.00015676683688070625, 0.009709760546684265, 0.00228421064093709, 0.0006565439980477095, 0.006478108000010252, 0.0044262465089559555, 0.0008166490006260574]"
0.634138,This image shows the country Italy,Spain,"[1.8699729480431415e-05, 1.5481373338843696e-05, 0.0018767887959256768, 0.01125394832342863, 0.024393456056714058, 7.466200622729957e-05, 4.363610423752107e-05, 0.000546360039152205, 0.0007372271502390504, 0.04256870970129967, 0.0006522245239466429, 0.006757648661732674, 0.003105849726125598, 1.2191631526548008e-07, 0.0019052861025556922, 0.0002925079606939107, 0.0004069297283422202, 0.00024447229225188494, 0.001029952079989016, 0.0004917928017675877, 0.00017968071915674955, 9.207840776070952e-05, 0.6341379880905151, 0.0016712065553292632, 0.00012938040890730917, 4.646970774047077e-05, 9.459807188250124e-05, 0.04559227451682091, 1.9695362425409257e-05, 0.000399318611016497, 2.220558781118598e-05, 0.00010193648631684482, 0.007012944668531418, 0.006158802658319473, 7.897816249169409e-05, 0.000236233594478108, 3.4652122849365696e-05, 0.001963461982086301, 1.5541789252893068e-05, 7.581299087178195e-06, 0.0012764116981998086, 0.00018581520998850465, 4.925841039948864e-06, 2.143623714800924e-05, 0.0001332724204985425, 0.00045105861499905586, 0.00238587474450469, 1.0480736818863079e-05, 0.0002917028614319861, 1.9165649064234458e-05, 0.0003860678116325289, 0.00020630969083867967, 0.0006379293045029044, 0.0009547708905301988, 0.0071296077221632, 4.3717576772905886e-05, 4.836842890654225e-07, 0.00016168774163816124, 0.009377914480865002, 0.0002158464485546574, 0.0010399087332189083, 5.7287837989861146e-05, 0.022145476192235947, 0.000182427087565884, 3.621364157879725e-05, 0.01440310850739479, 2.2818450815975666e-05, 0.003146550850942731, 6.67299100314267e-05, 0.0006512512336485088, 0.00041334819979965687, 1.0000427209888585e-05, 5.646231511491351e-05, 6.48640125291422e-05, 0.0017946399748325348, 2.9671248285012553e-06, 0.0002868864394258708, 0.001120254397392273, 1.8256910152558703e-06, 0.0006680877413600683, 2.0815465177292936e-05, 0.0016391389071941376, 0.00017841305816546082, 0.0003491519601084292, 0.0002162247255910188, 0.13039062917232513, 0.0027292745653539896]"
0.10790589,This image shows the country Costa Rica,Japan,"[0.005487396381795406, 0.00012979867460671812, 0.009772625751793385, 0.0226429495960474, 0.0001238982513314113, 0.003734926925972104, 0.019041290506720543, 0.00975409708917141, 0.0054278126917779446, 0.0021229770500212908, 0.10072966665029526, 0.0015349379973486066, 0.005648619960993528, 8.921365952119231e-05, 0.03278275951743126, 0.0014770226553082466, 0.007251132279634476, 0.007649772334843874, 0.00018804757564794272, 0.007846941240131855, 0.0053839604370296, 0.002169172279536724, 0.00724876718595624, 0.015007780864834785, 0.0077210720628499985, 0.01804506406188011, 0.017522932961583138, 0.015346664935350418, 0.004899254068732262, 0.015474436804652214, 0.020689714699983597, 0.05593910068273544, 0.003147980896756053, 0.010273396037518978, 0.0033310113940387964, 0.009809433482587337, 0.017864791676402092, 0.007268301676958799, 0.007713064551353455, 0.10790588706731796, 0.027561817318201065, 0.002049719914793968, 0.0033147293142974377, 0.0038241036236286163, 0.0024785203859210014, 0.011038050055503845, 0.002398267388343811, 0.002288979711011052, 0.04408138990402222, 0.0028386039193719625, 0.00033978873398154974, 0.004673724062740803, 0.01098306942731142, 0.017547346651554108, 0.001865899539552629, 0.0012608823599293828, 0.00018750426534097642, 0.003479243954643607, 0.008441547863185406, 0.00027970364317297935, 0.010899199172854424, 0.006054654251784086, 0.004117653705179691, 0.00037224582047201693, 4.026524402434006e-05, 0.0070512667298316956, 0.0008560898713767529, 0.017665790393948555, 0.0011429645819589496, 0.0013246334856376052, 0.0318346843123436, 0.007388100028038025, 0.0844900980591774, 0.0025550518184900284, 0.0029267172794789076, 0.0007386869983747602, 0.0076774125918745995, 0.004528278950601816, 0.0043221996165812016, 0.0007121520466171205, 0.00747447507455945, 0.012421732768416405, 0.012798306532204151, 0.0030895674135535955, 0.01470330823212862, 0.0018401873530820012, 0.00384370144456625]"
0.26824975,This image shows the country Russia,Poland,"[9.625906386645511e-05, 0.0010567540302872658, 0.007658613380044699, 0.05424002557992935, 0.016343751922249794, 0.007220597937703133, 0.039679598063230515, 0.0001652547944104299, 5.671902181347832e-05, 0.01293597649782896, 0.0026068256702274084, 0.012946788221597672, 0.004121272824704647, 6.3136817516351584e-06, 0.016911353915929794, 0.0011646843049675226, 0.2682497501373291, 0.00021178055612836033, 0.00024277194461319596, 0.0007615289068780839, 0.0002765512908808887, 2.9406504836515523e-05, 0.02729925699532032, 0.0016039920737966895, 0.0017564636655151844, 9.236068581230938e-05, 0.00020770732953678817, 0.023460960015654564, 0.0002754142915364355, 0.05471237748861313, 2.6068228180520236e-05, 3.609460691222921e-05, 0.023857159540057182, 0.17287425696849823, 0.001364565803669393, 0.059805311262607574, 0.00013902132923249155, 0.0016489940462633967, 1.194336437038146e-05, 8.513807188137434e-06, 0.002149196807295084, 0.0001489155984017998, 2.160777512472123e-05, 4.904098022961989e-05, 5.565540777752176e-05, 0.007584591396152973, 0.012644222937524319, 0.0015019647544249892, 0.00046787754399701953, 8.156252420121746e-07, 0.000294211640721187, 0.005709458142518997, 0.0004079911741428077, 0.0007491678697988391, 0.0030061660800129175, 4.733794048661366e-05, 7.165844181145076e-06, 0.00010922591900452971, 0.0027993840631097555, 0.00034907920053228736, 0.00553066236898303, 0.00016945594688877463, 0.011597857810556889, 0.0006061036256141961, 0.0006555955624207854, 0.004442435689270496, 6.483170727733523e-05, 0.02065468579530716, 0.0003002966695930809, 0.0005404881667345762, 0.031589508056640625, 0.0001454845623811707, 3.603482764447108e-05, 0.00011109399929409847, 0.000626137072686106, 0.00034143144148401916, 0.005198698956519365, 0.01929224096238613, 5.996913046146801e-07, 0.00290603912435472, 0.00012220875942148268, 0.005971090402454138, 0.016848476603627205, 0.0008468193700537086, 0.00018422534049022943, 0.013589692302048206, 0.003361728508025408]"
