geoguessr with default prompt,geoguessr with image prompt
0.35052456723203357,0.4149304723087988
0.33261627906976743,0.38869767441860464
0.387124788715976,0.4071919650863873
0.3798613930290553,0.37763228579102875
0.3607508142391863,0.4179664969012702
0.3824833064701819,0.43422095982010767
0.39265209070347384,0.41888004895960834
0.3948935800034797,0.40140244984910345
0.35588787172343206,0.42330637007077854
0.36006066734074826,0.4252694271128758
0.36511627906976746,0.42398989898989903
0.3811522464999122,0.38203473502646756
0.39161736277898196,0.37773286904613856
0.3536061230497498,0.41892232078638214
0.38290697674418606,0.427782500455401
0.36949249627677855,0.3737658631368025
0.3712831192872845,0.4259751445797958
0.32431163954943676,0.40914648765284106
0.3441334579876125,0.3704068280497234
0.36875757400888687,0.4181759455015269
